"date","Agegroup","Male","Female"
2023-02-05,"60-69y",619,597
2023-02-05,"70-79y",318,348
2023-02-05,"80y+",80,98
2023-02-04,"<1y",266,248
2023-02-04,"1-4y",3076,2547
2023-02-04,"5-9y",2248,1852
2023-02-04,"10-14y",1028,876
2023-02-04,"15-19y",732,713
2023-02-04,"20-29y",2338,1590
2023-02-04,"30-39y",2201,1295
2023-02-04,"40-49y",1488,1001
2023-02-04,"50-59y",1014,827
2023-02-04,"60-69y",619,597
2023-02-04,"70-79y",318,348
2023-02-04,"80y+",80,98
2023-02-03,"<1y",266,248
2023-02-03,"1-4y",3076,2547
2023-02-03,"5-9y",2248,1852
2023-02-03,"10-14y",1028,876
2023-02-03,"15-19y",732,713
2023-02-03,"20-29y",2338,1590
2023-02-03,"30-39y",2201,1295
2023-02-03,"40-49y",1488,1001
2023-02-03,"50-59y",1014,827
2023-02-03,"60-69y",619,597
2023-02-03,"70-79y",318,348
2023-02-03,"80y+",80,98
2023-02-02,"<1y",266,248
2023-02-02,"1-4y",3076,2547
2023-02-02,"5-9y",2248,1852
2023-02-02,"10-14y",1028,876
2023-02-02,"15-19y",732,713
2023-02-02,"20-29y",2338,1590
2023-02-02,"30-39y",2201,1295
2023-02-02,"40-49y",1488,1001
2023-02-02,"50-59y",1014,827
2023-02-02,"60-69y",619,597
2023-02-02,"70-79y",318,348
2023-02-02,"80y+",80,98
2023-02-01,"<1y",263,247
2023-02-01,"1-4y",3042,2526
2023-02-01,"5-9y",2215,1825
2023-02-01,"10-14y",1010,866
2023-02-01,"15-19y",723,700
2023-02-01,"20-29y",2328,1572
2023-02-01,"30-39y",2196,1285
2023-02-01,"40-49y",1480,992
2023-02-01,"50-59y",1008,808
2023-02-01,"60-69y",615,592
2023-02-01,"70-79y",313,338
2023-02-01,"80y+",80,98
2023-01-31,"<1y",255,243
2023-01-31,"1-4y",2951,2462
2023-01-31,"5-9y",2146,1766
2023-01-31,"10-14y",985,836
2023-01-31,"15-19y",700,679
2023-01-31,"20-29y",2288,1522
2023-01-31,"30-39y",2165,1257
2023-01-31,"40-49y",1444,967
2023-01-31,"50-59y",987,799
2023-01-31,"60-69y",596,576
2023-01-31,"70-79y",301,321
2023-01-31,"80y+",80,98
2023-01-30,"<1y",255,243
2023-01-30,"1-4y",2951,2462
2023-01-30,"5-9y",2146,1766
2023-01-30,"10-14y",985,836
2023-01-30,"15-19y",700,679
2023-01-30,"20-29y",2288,1522
2023-01-30,"30-39y",2165,1257
2023-01-30,"40-49y",1444,967
2023-01-30,"50-59y",987,799
2023-01-30,"60-69y",596,576
2023-01-30,"70-79y",301,321
2023-01-30,"80y+",80,98
2023-01-29,"<1y",245,232
2023-01-29,"1-4y",2873,2397
2023-01-29,"5-9y",2093,1720
2023-01-29,"10-14y",960,810
2023-01-29,"15-19y",680,662
2023-01-29,"20-29y",2235,1476
2023-01-29,"30-39y",2112,1225
2023-01-29,"40-49y",1414,940
2023-01-29,"50-59y",968,776
2023-01-29,"60-69y",578,563
2023-01-29,"70-79y",288,310
2023-01-29,"80y+",80,98
2023-01-28,"<1y",245,232
2023-01-28,"1-4y",2873,2397
2023-01-28,"5-9y",2093,1720
2023-01-28,"10-14y",960,810
2023-01-28,"15-19y",680,662
2023-01-28,"20-29y",2235,1476
2023-01-28,"30-39y",2112,1225
2023-01-28,"40-49y",1414,940
2023-01-28,"50-59y",968,776
2023-01-28,"60-69y",578,563
2023-01-28,"70-79y",288,310
2023-01-28,"80y+",80,98
2023-01-27,"<1y",245,232
2023-01-27,"1-4y",2873,2397
2023-01-27,"5-9y",2093,1720
2023-01-27,"10-14y",960,810
2023-01-27,"15-19y",680,662
2023-01-27,"20-29y",2235,1476
2023-01-27,"30-39y",2112,1225
2023-01-27,"40-49y",1414,940
2023-01-27,"50-59y",968,776
2023-01-27,"60-69y",578,563
2023-01-27,"70-79y",288,310
2023-01-27,"80y+",80,98
2023-01-26,"<1y",245,232
2023-01-26,"1-4y",2873,2397
2023-01-26,"5-9y",2093,1720
2023-01-26,"10-14y",960,810
2023-01-26,"15-19y",680,662
2023-01-26,"20-29y",2235,1476
2023-01-26,"30-39y",2112,1225
2023-01-26,"40-49y",1414,940
2023-01-26,"50-59y",968,776
2023-01-26,"60-69y",578,563
2023-01-26,"70-79y",288,310
2023-01-26,"80y+",80,98
2023-01-25,"<1y",241,230
2023-01-25,"1-4y",2860,2378
2023-01-25,"5-9y",2085,1709
2023-01-25,"10-14y",954,806
2023-01-25,"15-19y",676,657
2023-01-25,"20-29y",2230,1469
2023-01-25,"30-39y",2103,1220
2023-01-25,"40-49y",1409,934
2023-01-25,"50-59y",965,773
2023-01-25,"60-69y",574,560
2023-01-25,"70-79y",286,307
2023-01-25,"80y+",80,98
2023-01-24,"<1y",240,230
2023-01-24,"1-4y",2857,2372
2023-01-24,"5-9y",2076,1708
2023-01-24,"10-14y",953,806
2023-01-24,"15-19y",674,653
2023-01-24,"20-29y",2227,1465
2023-01-24,"30-39y",2101,1220
2023-01-24,"40-49y",1408,931
2023-01-24,"50-59y",962,771
2023-01-24,"60-69y",572,558
2023-01-24,"70-79y",285,307
2023-01-24,"80y+",80,98
2023-01-23,"<1y",232,228
2023-01-23,"1-4y",2789,2341
2023-01-23,"5-9y",2047,1688
2023-01-23,"10-14y",935,786
2023-01-23,"15-19y",663,651
2023-01-23,"20-29y",2191,1427
2023-01-23,"30-39y",2088,1198
2023-01-23,"40-49y",1388,921
2023-01-23,"50-59y",941,761
2023-01-23,"60-69y",565,761
2023-01-23,"70-79y",277,299
2023-01-23,"80y+",80,98
2023-01-22,"<1y",145,146
2023-01-22,"1-4y",2655,2229
2023-01-22,"5-9y",1922,1575
2023-01-22,"10-14y",896,751
2023-01-22,"15-19y",623,623
2023-01-22,"20-29y",2113,1345
2023-01-22,"30-39y",2010,1147
2023-01-22,"40-49y",1319,879
2023-01-22,"50-59y",898,713
2023-01-22,"60-69y",528,516
2023-01-22,"70-79y",261,278
2023-01-22,"80y+",80,98
2023-01-21,"<1y",145,146
2023-01-21,"1-4y",2655,2229
2023-01-21,"5-9y",1922,1575
2023-01-21,"10-14y",896,751
2023-01-21,"15-19y",623,623
2023-01-21,"20-29y",2113,1345
2023-01-21,"30-39y",2010,1147
2023-01-21,"40-49y",1319,879
2023-01-21,"50-59y",898,713
2023-01-21,"60-69y",528,516
2023-01-21,"70-79y",261,278
2023-01-21,"80y+",80,98
2023-01-20,"<1y",145,146
2023-01-20,"1-4y",2655,2229
2023-01-20,"5-9y",1922,1575
2023-01-20,"10-14y",896,751
2023-01-20,"15-19y",623,623
2023-01-20,"20-29y",2113,1345
2023-01-20,"30-39y",2010,1147
2023-01-20,"40-49y",1319,879
2023-01-20,"50-59y",898,713
2023-01-20,"60-69y",528,516
2023-01-20,"70-79y",261,278
2023-01-20,"80y+",80,98
2023-01-19,"<1y",145,146
2023-01-19,"1-4y",2655,2229
2023-01-19,"5-9y",1922,1575
2023-01-19,"10-14y",896,751
2023-01-19,"15-19y",623,623
2023-01-19,"20-29y",2113,1345
2023-01-19,"30-39y",2010,1147
2023-01-19,"40-49y",1319,879
2023-01-19,"50-59y",898,713
2023-01-19,"60-69y",528,516
2023-01-19,"70-79y",261,278
2023-01-19,"80y+",80,98
2023-01-18,"<1y",221,214
2023-01-18,"1-4y",2605,2191
2023-01-18,"5-9y",1885,1561
2023-01-18,"10-14y",890,739
2023-01-18,"15-19y",612,612
2023-01-18,"20-29y",2091,1327
2023-01-18,"30-39y",2000,1136
2023-01-18,"40-49y",1309,871
2023-01-18,"50-59y",887,708
2023-01-18,"60-69y",516,508
2023-01-18,"70-79y",258,276
2023-01-18,"80y+",80,95
2023-01-17,"<1y",220,214
2023-01-17,"1-4y",2599,2190
2023-01-17,"5-9y",1883,1558
2023-01-17,"10-14y",890,739
2023-01-17,"15-19y",612,612
2023-01-17,"20-29y",2088,1325
2023-01-17,"30-39y",1999,1133
2023-01-17,"40-49y",1308,871
2023-01-17,"50-59y",883,706
2023-01-17,"60-69y",515,508
2023-01-17,"70-79y",257,276
2023-01-17,"80y+",80,95
2023-01-16,"<1y",212,208
2023-01-16,"1-4y",2486,1483
2023-01-16,"5-9y",1807,1483
2023-01-16,"10-14y",850,702
2023-01-16,"15-19y",586,584
2023-01-16,"20-29y",2010,1266
2023-01-16,"30-39y",1951,1092
2023-01-16,"40-49y",1275,847
2023-01-16,"50-59y",863,674
2023-01-16,"60-69y",493,488
2023-01-16,"70-79y",239,264
2023-01-16,"80y+",76,91
2023-01-15,"<1y",212,208
2023-01-15,"1-4y",2486,1483
2023-01-15,"5-9y",1807,1483
2023-01-15,"10-14y",850,702
2023-01-15,"15-19y",586,584
2023-01-15,"20-29y",2010,1266
2023-01-15,"30-39y",1951,1092
2023-01-15,"40-49y",1275,847
2023-01-15,"50-59y",863,674
2023-01-15,"60-69y",493,488
2023-01-15,"70-79y",239,264
2023-01-15,"80y+",76,91
2023-01-14,"<1y",212,208
2023-01-14,"1-4y",2486,1483
2023-01-14,"5-9y",1807,1483
2023-01-14,"10-14y",850,702
2023-01-14,"15-19y",586,584
2023-01-14,"20-29y",2010,1266
2023-01-14,"30-39y",1951,1092
2023-01-14,"40-49y",1275,847
2023-01-14,"50-59y",863,674
2023-01-14,"60-69y",493,488
2023-01-14,"70-79y",239,264
2023-01-14,"80y+",76,91
2023-01-13,"<1y",212,208
2023-01-13,"1-4y",2486,1483
2023-01-13,"5-9y",1807,1483
2023-01-13,"10-14y",850,702
2023-01-13,"15-19y",586,584
2023-01-13,"20-29y",2010,1266
2023-01-13,"30-39y",1951,1092
2023-01-13,"40-49y",1275,847
2023-01-13,"50-59y",863,674
2023-01-13,"60-69y",493,488
2023-01-13,"70-79y",239,264
2023-01-13,"80y+",76,91
2023-01-12,"<1y",212,208
2023-01-12,"1-4y",2486,1483
2023-01-12,"5-9y",1807,1483
2023-01-12,"10-14y",850,702
2023-01-12,"15-19y",586,584
2023-01-12,"20-29y",2010,1266
2023-01-12,"30-39y",1951,1092
2023-01-12,"40-49y",1275,847
2023-01-12,"50-59y",863,674
2023-01-12,"60-69y",493,488
2023-01-12,"70-79y",239,264
2023-01-12,"80y+",76,91
2023-01-11,"<1y",207,205
2023-01-11,"1-4y",2450,2042
2023-01-11,"5-9y",1780,1465
2023-01-11,"10-14y",842,699
2023-01-11,"15-19y",581,574
2023-01-11,"20-29y",1987,1253
2023-01-11,"30-39y",1941,1075
2023-01-11,"40-49y",1264,841
2023-01-11,"50-59y",856,662
2023-01-11,"60-69y",489,479
2023-01-11,"70-79y",232,262
2023-01-11,"80y+",76,91
2023-01-10,"<1y",201,198
2023-01-10,"1-4y",2343,1957
2023-01-10,"5-9y",1705,1406
2023-01-10,"10-14y",809,674
2023-01-10,"15-19y",564,550
2023-01-10,"20-29y",1936,1214
2023-01-10,"30-39y",1908,1036
2023-01-10,"40-49y",1234,813
2023-01-10,"50-59y",830,642
2023-01-10,"60-69y",474,471
2023-01-10,"70-79y",227,244
2023-01-10,"80y+",76,88
2023-01-09,"<1y",207,205
2023-01-09,"1-4y",2450,2042
2023-01-09,"5-9y",1780,1465
2023-01-09,"10-14y",842,699
2023-01-09,"15-19y",581,574
2023-01-09,"20-29y",1987,1253
2023-01-09,"30-39y",1941,1075
2023-01-09,"40-49y",1264,841
2023-01-09,"50-59y",856,662
2023-01-09,"60-69y",489,479
2023-01-09,"70-79y",232,262
2023-01-09,"80y+",76,91
2023-01-08,"<1y",201,198
2023-01-08,"1-4y",2343,1957
2023-01-08,"5-9y",1705,1406
2023-01-08,"10-14y",809,674
2023-01-08,"15-19y",564,550
2023-01-08,"20-29y",1936,1214
2023-01-08,"30-39y",1908,1036
2023-01-08,"40-49y",1234,813
2023-01-08,"50-59y",830,642
2023-01-08,"60-69y",474,471
2023-01-08,"70-79y",227,244
2023-01-08,"80y+",76,88
2023-01-07,"<1y",213,212
2023-01-07,"1-4y",2488,2059
2023-01-07,"5-9y",1769,1469
2023-01-07,"10-14y",853,704
2023-01-07,"15-19y",585,577
2023-01-07,"20-29y",2002,1247
2023-01-07,"30-39y",1946,1079
2023-01-07,"40-49y",1276,839
2023-01-07,"50-59y",842,646
2023-01-07,"60-69y",485,477
2023-01-07,"70-79y",232,256
2023-01-07,"80y+",76,85
2023-01-06,"<1y",213,212
2023-01-06,"1-4y",2488,2059
2023-01-06,"5-9y",1769,1469
2023-01-06,"10-14y",853,704
2023-01-06,"15-19y",585,577
2023-01-06,"20-29y",2002,1247
2023-01-06,"30-39y",1946,1079
2023-01-06,"40-49y",1276,839
2023-01-06,"50-59y",842,646
2023-01-06,"60-69y",485,477
2023-01-06,"70-79y",232,256
2023-01-06,"80y+",76,85
2023-01-05,"<1y",213,212
2023-01-05,"1-4y",2488,2059
2023-01-05,"5-9y",1769,1469
2023-01-05,"10-14y",853,704
2023-01-05,"15-19y",585,577
2023-01-05,"20-29y",2002,1247
2023-01-05,"30-39y",1946,1079
2023-01-05,"40-49y",1276,839
2023-01-05,"50-59y",842,646
2023-01-05,"60-69y",485,477
2023-01-05,"70-79y",232,256
2023-01-05,"80y+",76,85
2023-01-04,"<1y",197,192
2023-01-04,"1-4y",2295,1904
2023-01-04,"5-9y",1663,1379
2023-01-04,"10-14y",791,660
2023-01-04,"15-19y",552,534
2023-01-04,"20-29y",1908,1183
2023-01-04,"30-39y",1888,1016
2023-01-04,"40-49y",1220,799
2023-01-04,"50-59y",810,631
2023-01-04,"60-69y",460,456
2023-01-04,"70-79y",224,242
2023-01-04,"80y+",76,85
2023-01-03,"<1y",182,188
2023-01-03,"1-4y",2209,1835
2023-01-03,"5-9y",1600,1328
2023-01-03,"10-14y",774,642
2023-01-03,"15-19y",530,513
2023-01-03,"20-29y",1857,1145
2023-01-03,"30-39y",1851,977
2023-01-03,"40-49y",1188,766
2023-01-03,"50-59y",782,603
2023-01-03,"60-69y",444,442
2023-01-03,"70-79y",220,236
2023-01-03,"80y+",76,85
2023-01-02,"<1y",179,183
2023-01-02,"1-4y",2176,1802
2023-01-02,"5-9y",1579,1313
2023-01-02,"10-14y",759,629
2023-01-02,"15-19y",524,509
2023-01-02,"20-29y",1841,1123
2023-01-02,"30-39y",1837,963
2023-01-02,"40-49y",1179,757
2023-01-02,"50-59y",777,594
2023-01-02,"60-69y",439,434
2023-01-02,"70-79y",211,235
2023-01-02,"80y+",76,85
2023-01-01,"<1y",179,183
2023-01-01,"1-4y",2176,1802
2023-01-01,"5-9y",1579,1313
2023-01-01,"10-14y",759,629
2023-01-01,"15-19y",524,509
2023-01-01,"20-29y",1841,1123
2023-01-01,"30-39y",1837,963
2023-01-01,"40-49y",1179,757
2023-01-01,"50-59y",777,594
2023-01-01,"60-69y",439,434
2023-01-01,"70-79y",211,235
2023-01-01,"80y+",76,85
2022-12-31,"<1y",179,183
2022-12-31,"1-4y",2176,1802
2022-12-31,"5-9y",1579,1313
2022-12-31,"10-14y",759,629
2022-12-31,"15-19y",524,509
2022-12-31,"20-29y",1841,1123
2022-12-31,"30-39y",1837,963
2022-12-31,"40-49y",1179,757
2022-12-31,"50-59y",777,594
2022-12-31,"60-69y",439,434
2022-12-31,"70-79y",211,235
2022-12-31,"80y+",76,85
2022-12-30,"<1y",179,183
2022-12-30,"1-4y",2176,1802
2022-12-30,"5-9y",1579,1313
2022-12-30,"10-14y",759,629
2022-12-30,"15-19y",524,509
2022-12-30,"20-29y",1841,1123
2022-12-30,"30-39y",1837,963
2022-12-30,"40-49y",1179,757
2022-12-30,"50-59y",777,594
2022-12-30,"60-69y",439,434
2022-12-30,"70-79y",211,235
2022-12-30,"80y+",76,85
2022-12-29,"<1y",175,180
2022-12-29,"1-4y",2151,1781
2022-12-29,"5-9y",1568,1293
2022-12-29,"10-14y",754,621
2022-12-29,"15-19y",521,502
2022-12-29,"20-29y",1831,1112
2022-12-29,"30-39y",1830,960
2022-12-29,"40-49y",1166,753
2022-12-29,"50-59y",773,589
2022-12-29,"60-69y",434,428
2022-12-29,"70-79y",209,231
2022-12-29,"80y+",76,85
2022-12-28,"<1y",175,180
2022-12-28,"1-4y",2115,1757
2022-12-28,"5-9y",1550,1280
2022-12-28,"10-14y",748,614
2022-12-28,"15-19y",515,492
2022-12-28,"20-29y",1822,1101
2022-12-28,"30-39y",1825,955
2022-12-28,"40-49y",1155,739
2022-12-28,"50-59y",762,589
2022-12-28,"60-69y",426,425
2022-12-28,"70-79y",205,229
2022-12-28,"80y+",62,73
2022-12-27,"<1y",173,176
2022-12-27,"1-4y",2070,1724
2022-12-27,"5-9y",1524,1254
2022-12-27,"10-14y",738,605
2022-12-27,"15-19y",510,481
2022-12-27,"20-29y",1794,1080
2022-12-27,"30-39y",1808,937
2022-12-27,"40-49y",1139,727
2022-12-27,"50-59y",754,575
2022-12-27,"60-69y",420,413
2022-12-27,"70-79y",203,224
2022-12-27,"80y+",62,73
2022-12-26,"<1y",166,167
2022-12-26,"1-4y",1922,1591
2022-12-26,"5-9y",1416,1156
2022-12-26,"10-14y",698,559
2022-12-26,"15-19y",488,450
2022-12-26,"20-29y",1724,1016
2022-12-26,"30-39y",1739,884
2022-12-26,"40-49y",1088,685
2022-12-26,"50-59y",716,539
2022-12-26,"60-69y",404,379
2022-12-26,"70-79y",188,211
2022-12-26,"80y+",60,65
2022-12-25,"<1y",166,167
2022-12-25,"1-4y",1922,1591
2022-12-25,"5-9y",1416,1156
2022-12-25,"10-14y",698,559
2022-12-25,"15-19y",488,450
2022-12-25,"20-29y",1724,1016
2022-12-25,"30-39y",1739,884
2022-12-25,"40-49y",1088,685
2022-12-25,"50-59y",716,539
2022-12-25,"60-69y",404,379
2022-12-25,"70-79y",188,211
2022-12-25,"80y+",60,65
2022-12-24,"<1y",166,167
2022-12-24,"1-4y",1922,1591
2022-12-24,"5-9y",1416,1156
2022-12-24,"10-14y",698,559
2022-12-24,"15-19y",488,450
2022-12-24,"20-29y",1724,1016
2022-12-24,"30-39y",1739,884
2022-12-24,"40-49y",1088,685
2022-12-24,"50-59y",716,539
2022-12-24,"60-69y",404,379
2022-12-24,"70-79y",188,211
2022-12-24,"80y+",60,65
2022-12-23,"<1y",166,167
2022-12-23,"1-4y",1922,1591
2022-12-23,"5-9y",1416,1156
2022-12-23,"10-14y",698,559
2022-12-23,"15-19y",488,450
2022-12-23,"20-29y",1724,1016
2022-12-23,"30-39y",1739,884
2022-12-23,"40-49y",1088,685
2022-12-23,"50-59y",716,539
2022-12-23,"60-69y",404,379
2022-12-23,"70-79y",188,211
2022-12-23,"80y+",60,65
2022-12-22,"<1y",166,167
2022-12-22,"1-4y",1922,1591
2022-12-22,"5-9y",1416,1156
2022-12-22,"10-14y",698,559
2022-12-22,"15-19y",488,450
2022-12-22,"20-29y",1724,1016
2022-12-22,"30-39y",1739,884
2022-12-22,"40-49y",1088,685
2022-12-22,"50-59y",716,539
2022-12-22,"60-69y",404,379
2022-12-22,"70-79y",188,211
2022-12-22,"80y+",60,65
2022-12-21,"<1y",162,164
2022-12-21,"1-4y",1875,1558
2022-12-21,"5-9y",1390,1127
2022-12-21,"10-14y",682,549
2022-12-21,"15-19y",475,435
2022-12-21,"20-29y",1697,979
2022-12-21,"30-39y",1708,850
2022-12-21,"40-49y",1063,666
2022-12-21,"50-59y",695,522
2022-12-21,"60-69y",391,369
2022-12-21,"70-79y",186,204
2022-12-21,"80y+",60,65
2022-12-20,"<1y",158,160
2022-12-20,"1-4y",1830,1517
2022-12-20,"5-9y",1347,1089
2022-12-20,"10-14y",665,534
2022-12-20,"15-19y",465,427
2022-12-20,"20-29y",1657,965
2022-12-20,"30-39y",1681,824
2022-12-20,"40-49y",1048,645
2022-12-20,"50-59y",681,506
2022-12-20,"60-69y",383,354
2022-12-20,"70-79y",183,197
2022-12-20,"80y+",60,65
2022-12-19,"<1y",154,155
2022-12-19,"1-4y",1767,1461
2022-12-19,"5-9y",1302,1048
2022-12-19,"10-14y",637,515
2022-12-19,"15-19y",451,407
2022-12-19,"20-29y",1601,938
2022-12-19,"30-39y",1625,801
2022-12-19,"40-49y",1023,622
2022-12-19,"50-59y",662,486
2022-12-19,"60-69y",368,340
2022-12-19,"70-79y",179,193
2022-12-19,"80y+",39,35
2022-12-18,"<1y",150,149
2022-12-18,"1-4y",1532,1271
2022-12-18,"5-9y",1139,907
2022-12-18,"10-14y",546,446
2022-12-18,"15-19y",408,356
2022-12-18,"20-29y",1482,841
2022-12-18,"30-39y",1494,719
2022-12-18,"40-49y",950,564
2022-12-18,"50-59y",591,432
2022-12-18,"60-69y",323,298
2022-12-18,"70-79y",155,161
2022-12-18,"80y+",39,35
2022-12-17,"<1y",150,149
2022-12-17,"1-4y",1532,1271
2022-12-17,"5-9y",1139,907
2022-12-17,"10-14y",546,446
2022-12-17,"15-19y",408,356
2022-12-17,"20-29y",1482,841
2022-12-17,"30-39y",1494,719
2022-12-17,"40-49y",950,564
2022-12-17,"50-59y",591,432
2022-12-17,"60-69y",323,298
2022-12-17,"70-79y",155,161
2022-12-17,"80y+",39,35
2022-12-16,"<1y",150,149
2022-12-16,"1-4y",1532,1271
2022-12-16,"5-9y",1139,907
2022-12-16,"10-14y",546,446
2022-12-16,"15-19y",408,356
2022-12-16,"20-29y",1482,841
2022-12-16,"30-39y",1494,719
2022-12-16,"40-49y",950,564
2022-12-16,"50-59y",591,432
2022-12-16,"60-69y",323,298
2022-12-16,"70-79y",155,161
2022-12-16,"80y+",39,35
2022-12-15,"<1y",152,153
2022-12-15,"1-4y",1529,1281
2022-12-15,"5-9y",1135,909
2022-12-15,"10-14y",541,444
2022-12-15,"15-19y",405,355
2022-12-15,"20-29y",1485,841
2022-12-15,"30-39y",1511,727
2022-12-15,"40-49y",946,573
2022-12-15,"50-59y",588,430
2022-12-15,"60-69y",317,299
2022-12-15,"70-79y",154,158
2022-12-15,"80y+",39,35
2022-12-14,"<1y",150,152
2022-12-14,"1-4y",1514,1274
2022-12-14,"5-9y",1128,897
2022-12-14,"10-14y",539,439
2022-12-14,"15-19y",401,352
2022-12-14,"20-29y",1468,835
2022-12-14,"30-39y",1496,723
2022-12-14,"40-49y",937,568
2022-12-14,"50-59y",584,425
2022-12-14,"60-69y",315,294
2022-12-14,"70-79y",151,156
2022-12-14,"80y+",39,35
2022-12-13,"<1y",149,151
2022-12-13,"1-4y",1491,1257
2022-12-13,"5-9y",1111,882
2022-12-13,"10-14y",531,434
2022-12-13,"15-19y",395,347
2022-12-13,"20-29y",1456,824
2022-12-13,"30-39y",1473,709
2022-12-13,"40-49y",926,559
2022-12-13,"50-59y",576,416
2022-12-13,"60-69y",310,286
2022-12-13,"70-79y",149,155
2022-12-13,"80y+",39,35
2022-12-12,"<1y",148,149
2022-12-12,"1-4y",1468,1240
2022-12-12,"5-9y",1100,875
2022-12-12,"10-14y",526,430
2022-12-12,"15-19y",392,339
2022-12-12,"20-29y",1436,814
2022-12-12,"30-39y",1460,702
2022-12-12,"40-49y",916,552
2022-12-12,"50-59y",567,413
2022-12-12,"60-69y",305,280
2022-12-12,"70-79y",142,152
2022-12-12,"80y+",39,35
2022-12-11,"<1y",146,147
2022-12-11,"1-4y",1433,1197
2022-12-11,"5-9y",1060,851
2022-12-11,"10-14y",501,419
2022-12-11,"15-19y",377,331
2022-12-11,"20-29y",1375,781
2022-12-11,"30-39y",1404,681
2022-12-11,"40-49y",886,532
2022-12-11,"50-59y",544,399
2022-12-11,"60-69y",299,270
2022-12-11,"70-79y",133,147
2022-12-11,"80y+",39,35
2022-12-10,"<1y",146,147
2022-12-10,"1-4y",1433,1197
2022-12-10,"5-9y",1060,851
2022-12-10,"10-14y",501,419
2022-12-10,"15-19y",377,331
2022-12-10,"20-29y",1375,781
2022-12-10,"30-39y",1404,681
2022-12-10,"40-49y",886,532
2022-12-10,"50-59y",544,399
2022-12-10,"60-69y",299,270
2022-12-10,"70-79y",133,147
2022-12-10,"80y+",39,35
2022-12-09,"<1y",146,147
2022-12-09,"1-4y",1433,1197
2022-12-09,"5-9y",1060,851
2022-12-09,"10-14y",501,419
2022-12-09,"15-19y",377,331
2022-12-09,"20-29y",1375,781
2022-12-09,"30-39y",1404,681
2022-12-09,"40-49y",886,532
2022-12-09,"50-59y",544,399
2022-12-09,"60-69y",299,270
2022-12-09,"70-79y",133,147
2022-12-09,"80y+",39,35
2022-12-08,"<1y",136,141
2022-12-08,"1-4y",1384,1169
2022-12-08,"5-9y",1035,814
2022-12-08,"10-14y",485,410
2022-12-08,"15-19y",358,327
2022-12-08,"20-29y",1307,758
2022-12-08,"30-39y",1372,662
2022-12-08,"40-49y",855,520
2022-12-08,"50-59y",525,384
2022-12-08,"60-69y",291,258
2022-12-08,"70-79y",131,138
2022-12-08,"80y+",39,35
2022-12-07,"<1y",135,140
2022-12-07,"1-4y",1380,1163
2022-12-07,"5-9y",1031,811
2022-12-07,"10-14y",484,409
2022-12-07,"15-19y",355,324
2022-12-07,"20-29y",1299,750
2022-12-07,"30-39y",1352,657
2022-12-07,"40-49y",850,516
2022-12-07,"50-59y",522,382
2022-12-07,"60-69y",289,256
2022-12-07,"70-79y",131,138
2022-12-07,"80y+",88,81
2022-12-06,"<1y",135,140
2022-12-06,"1-4y",1363,1149
2022-12-06,"5-9y",1017,803
2022-12-06,"10-14y",480,405
2022-12-06,"15-19y",346,323
2022-12-06,"20-29y",1275,744
2022-12-06,"30-39y",1337,654
2022-12-06,"40-49y",843,512
2022-12-06,"50-59y",513,379
2022-12-06,"60-69y",286,254
2022-12-06,"70-79y",130,138
2022-12-06,"80y+",88,81
2022-12-05,"<1y",135,137
2022-12-05,"1-4y",1341,1134
2022-12-05,"5-9y",1005,794
2022-12-05,"10-14y",476,397
2022-12-05,"15-19y",338,319
2022-12-05,"20-29y",1252,731
2022-12-05,"30-39y",1310,637
2022-12-05,"40-49y",832,504
2022-12-05,"50-59y",504,372
2022-12-05,"60-69y",284,251
2022-12-05,"70-79y",126,137
2022-12-05,"80y+",88,81
2022-12-04,"<1y",120,123
2022-12-04,"1-4y",1211,1023
2022-12-04,"5-9y",921,706
2022-12-04,"10-14y",438,329
2022-12-04,"15-19y",316,280
2022-12-04,"20-29y",1141,645
2022-12-04,"30-39y",1199,569
2022-12-04,"40-49y",766,451
2022-12-04,"50-59y",460,345
2022-12-04,"60-69y",260,220
2022-12-04,"70-79y",113,123
2022-12-04,"80y+",88,81
2022-12-03,"<1y",120,123
2022-12-03,"1-4y",1211,1023
2022-12-03,"5-9y",921,706
2022-12-03,"10-14y",438,329
2022-12-03,"15-19y",316,280
2022-12-03,"20-29y",1141,645
2022-12-03,"30-39y",1199,569
2022-12-03,"40-49y",766,451
2022-12-03,"50-59y",460,345
2022-12-03,"60-69y",260,220
2022-12-03,"70-79y",113,123
2022-12-03,"80y+",88,81
2022-12-02,"<1y",120,123
2022-12-02,"1-4y",1211,1023
2022-12-02,"5-9y",921,706
2022-12-02,"10-14y",438,329
2022-12-02,"15-19y",316,280
2022-12-02,"20-29y",1141,645
2022-12-02,"30-39y",1199,569
2022-12-02,"40-49y",766,451
2022-12-02,"50-59y",460,345
2022-12-02,"60-69y",260,220
2022-12-02,"70-79y",113,123
2022-12-02,"80y+",88,81
2022-12-01,"<1y",125,132
2022-12-01,"1-4y",1243,1064
2022-12-01,"5-9y",948,735
2022-12-01,"10-14y",450,370
2022-12-01,"15-19y",323,290
2022-12-01,"20-29y",1175,673
2022-12-01,"30-39y",1242,592
2022-12-01,"40-49y",778,471
2022-12-01,"50-59y",474,353
2022-12-01,"60-69y",264,229
2022-12-01,"70-79y",118,124
2022-12-01,"80y+",88,81
2022-11-30,"<1y",123,132
2022-11-30,"1-4y",1220,1052
2022-11-30,"5-9y",930,725
2022-11-30,"10-14y",446,362
2022-11-30,"15-19y",317,281
