"date","Agegroup","Male","Female"
2023-10-03,"30-39y",4023,3193
2023-10-03,"40-49y",3030,2386
2023-10-03,"50-59y",2105,1996
2023-10-03,"60-69y",1468,1571
2023-10-03,"70-79y",886,925
2023-10-03,"80y+",332,426
2023-09-30,"<1y",915,732
2023-09-30,"1-4y",7327,6068
2023-09-30,"5-9y",5100,4385
2023-09-30,"10-14y",2650,2347
2023-09-30,"15-19y",1810,1955
2023-09-30,"20-29y",4516,3946
2023-09-30,"30-39y",3987,3158
2023-09-30,"40-49y",2997,2351
2023-09-30,"50-59y",2079,1973
2023-09-30,"60-69y",1440,1539
2023-09-30,"70-79y",870,914
2023-09-30,"80y+",329,417
2023-09-20,"<1y",906,730
2023-09-20,"1-4y",7098,6000
2023-09-20,"5-9y",5046,4336
2023-09-20,"10-14y",2625,2318
2023-09-20,"15-19y",1788,1937
2023-09-20,"20-29y",4469,3901
2023-09-20,"30-39y",3928,3119
2023-09-20,"40-49y",962,24
2023-09-20,"50-59y",2060,1950
2023-09-20,"60-69y",1423,1518
2023-09-20,"70-79y",856,900
2023-09-20,"80y+",323,409
2023-09-07,"<1y",887,720
2023-09-07,"1-4y",7098,5868
2023-09-07,"5-9y",4935,4252
2023-09-07,"10-14y",2560,2259
2023-09-07,"15-19y",1743,1895
2023-09-07,"20-29y",4392,3814
2023-09-07,"30-39y",3877,3035
2023-09-07,"40-49y",2914,2277
2023-09-07,"50-59y",2024,1902
2023-09-07,"60-69y",1394,1476
2023-09-07,"70-79y",838,875
2023-09-07,"80y+",318,394
2023-08-23,"<1y",847,689
2023-08-23,"1-4y",6781,5633
2023-08-23,"5-9y",4754,4068
2023-08-23,"10-14y",2455,2171
2023-08-23,"15-19y",1663,1808
2023-08-23,"20-29y",4255,3644
2023-08-23,"30-39y",3784,2919
2023-08-23,"40-49y",2838,2181
2023-08-23,"50-59y",1948,1826
2023-08-23,"60-69y",1340,1417
2023-08-23,"70-79y",803,844
2023-08-23,"80y+",307,374
2023-08-22,"<1y",847,689
2023-08-22,"1-4y",6781,5633
2023-08-22,"5-9y",4754,4068
2023-08-22,"10-14y",2455,2171
2023-08-22,"15-19y",1663,1808
2023-08-22,"20-29y",4255,3644
2023-08-22,"30-39y",3784,2919
2023-08-22,"40-49y",2838,2181
2023-08-22,"50-59y",1948,1826
2023-08-22,"60-69y",1340,1417
2023-08-22,"70-79y",803,844
2023-08-22,"80y+",307,374
2023-08-21,"<1y",847,689
2023-08-21,"1-4y",6781,5633
2023-08-21,"5-9y",4754,4068
2023-08-21,"10-14y",2455,2171
2023-08-21,"15-19y",1663,1808
2023-08-21,"20-29y",4255,3644
2023-08-21,"30-39y",3784,2919
2023-08-21,"40-49y",2838,2181
2023-08-21,"50-59y",1948,1826
2023-08-21,"60-69y",1340,1417
2023-08-21,"70-79y",803,844
2023-08-21,"80y+",307,374
2023-08-20,"<1y",847,689
2023-08-20,"1-4y",6781,5633
2023-08-20,"5-9y",4754,4068
2023-08-20,"10-14y",2455,2171
2023-08-20,"15-19y",1663,1808
2023-08-20,"20-29y",4255,3644
2023-08-20,"30-39y",3784,2919
2023-08-20,"40-49y",2838,2181
2023-08-20,"50-59y",1948,1826
2023-08-20,"60-69y",1340,1417
2023-08-20,"70-79y",803,844
2023-08-20,"80y+",307,374
2023-08-19,"<1y",847,689
2023-08-19,"1-4y",6781,5633
2023-08-19,"5-9y",4754,4068
2023-08-19,"10-14y",2455,2171
2023-08-19,"15-19y",1663,1808
2023-08-19,"20-29y",4255,3644
2023-08-19,"30-39y",3784,2919
2023-08-19,"40-49y",2838,2181
2023-08-19,"50-59y",1948,1826
2023-08-19,"60-69y",1340,1417
2023-08-19,"70-79y",803,844
2023-08-19,"80y+",307,374
2023-08-18,"<1y",831,681
2023-08-18,"1-4y",6654,5512
2023-08-18,"5-9y",4554,3997
2023-08-18,"10-14y",2402,2115
2023-08-18,"15-19y",1636,1765
2023-08-18,"20-29y",4191,3572
2023-08-18,"30-39y",3738,2866
2023-08-18,"40-49y",2790,2142
2023-08-18,"50-59y",1900,1782
2023-08-18,"60-69y",1316,1384
2023-08-18,"70-79y",779,817
2023-08-18,"80y+",299,367
2023-08-17,"<1y",831,681
2023-08-17,"1-4y",6654,5512
2023-08-17,"5-9y",4554,3997
2023-08-17,"10-14y",2402,2115
2023-08-17,"15-19y",1636,1765
2023-08-17,"20-29y",4191,3572
2023-08-17,"30-39y",3738,2866
2023-08-17,"40-49y",2790,2142
2023-08-17,"50-59y",1900,1782
2023-08-17,"60-69y",1316,1384
2023-08-17,"70-79y",779,817
2023-08-17,"80y+",299,367
2023-08-16,"<1y",831,681
2023-08-16,"1-4y",6654,5512
2023-08-16,"5-9y",4554,3997
2023-08-16,"10-14y",2402,2115
2023-08-16,"15-19y",1636,1765
2023-08-16,"20-29y",4191,3572
2023-08-16,"30-39y",3738,2866
2023-08-16,"40-49y",2790,2142
2023-08-16,"50-59y",1900,1782
2023-08-16,"60-69y",1316,1384
2023-08-16,"70-79y",779,817
2023-08-16,"80y+",299,367
2023-08-15,"<1y",831,681
2023-08-15,"1-4y",6654,5512
2023-08-15,"5-9y",4554,3997
2023-08-15,"10-14y",2402,2115
2023-08-15,"15-19y",1636,1765
2023-08-15,"20-29y",4191,3572
2023-08-15,"30-39y",3738,2866
2023-08-15,"40-49y",2790,2142
2023-08-15,"50-59y",1900,1782
2023-08-15,"60-69y",1316,1384
2023-08-15,"70-79y",779,817
2023-08-15,"80y+",299,367
2023-08-14,"<1y",831,681
2023-08-14,"1-4y",6654,5512
2023-08-14,"5-9y",4554,3997
2023-08-14,"10-14y",2402,2115
2023-08-14,"15-19y",1636,1765
2023-08-14,"20-29y",4191,3572
2023-08-14,"30-39y",3738,2866
2023-08-14,"40-49y",2790,2142
2023-08-14,"50-59y",1900,1782
2023-08-14,"60-69y",1316,1384
2023-08-14,"70-79y",779,817
2023-08-14,"80y+",299,367
2023-08-13,"<1y",831,681
2023-08-13,"1-4y",6654,5512
2023-08-13,"5-9y",4554,3997
2023-08-13,"10-14y",2402,2115
2023-08-13,"15-19y",1636,1765
2023-08-13,"20-29y",4191,3572
2023-08-13,"30-39y",3738,2866
2023-08-13,"40-49y",2790,2142
2023-08-13,"50-59y",1900,1782
2023-08-13,"60-69y",1316,1384
2023-08-13,"70-79y",779,817
2023-08-13,"80y+",299,367
2023-08-12,"<1y",831,681
2023-08-12,"1-4y",6654,5512
2023-08-12,"5-9y",4554,3997
2023-08-12,"10-14y",2402,2115
2023-08-12,"15-19y",1636,1765
2023-08-12,"20-29y",4191,3572
2023-08-12,"30-39y",3738,2866
2023-08-12,"40-49y",2790,2142
2023-08-12,"50-59y",1900,1782
2023-08-12,"60-69y",1316,1384
2023-08-12,"70-79y",779,817
2023-08-12,"80y+",299,367
2023-08-11,"<1y",831,681
2023-08-11,"1-4y",6654,5512
2023-08-11,"5-9y",4554,3997
2023-08-11,"10-14y",2402,2115
2023-08-11,"15-19y",1636,1765
2023-08-11,"20-29y",4191,3572
2023-08-11,"30-39y",3738,2866
2023-08-11,"40-49y",2790,2142
2023-08-11,"50-59y",1900,1782
2023-08-11,"60-69y",1316,1384
2023-08-11,"70-79y",779,817
2023-08-11,"80y+",299,367
2023-08-10,"<1y",831,681
2023-08-10,"1-4y",6654,5512
2023-08-10,"5-9y",4554,3997
2023-08-10,"10-14y",2402,2115
2023-08-10,"15-19y",1636,1765
2023-08-10,"20-29y",4191,3572
2023-08-10,"30-39y",3738,2866
2023-08-10,"40-49y",2790,2142
2023-08-10,"50-59y",1900,1782
2023-08-10,"60-69y",1316,1384
2023-08-10,"70-79y",779,817
2023-08-10,"80y+",299,367
2023-08-09,"<1y",831,681
2023-08-09,"1-4y",6654,5512
2023-08-09,"5-9y",4554,3997
2023-08-09,"10-14y",2402,2115
2023-08-09,"15-19y",1636,1765
2023-08-09,"20-29y",4191,3572
2023-08-09,"30-39y",3738,2866
2023-08-09,"40-49y",2790,2142
2023-08-09,"50-59y",1900,1782
2023-08-09,"60-69y",1316,1384
2023-08-09,"70-79y",779,817
2023-08-09,"80y+",299,367
2023-08-08,"<1y",831,681
2023-08-08,"1-4y",6654,5512
2023-08-08,"5-9y",4554,3997
2023-08-08,"10-14y",2402,2115
2023-08-08,"15-19y",1636,1765
2023-08-08,"20-29y",4191,3572
2023-08-08,"30-39y",3738,2866
2023-08-08,"40-49y",2790,2142
2023-08-08,"50-59y",1900,1782
2023-08-08,"60-69y",1316,1384
2023-08-08,"70-79y",779,817
2023-08-08,"80y+",299,367
2023-08-07,"<1y",831,681
2023-08-07,"1-4y",6654,5512
2023-08-07,"5-9y",4554,3997
2023-08-07,"10-14y",2402,2115
2023-08-07,"15-19y",1636,1765
2023-08-07,"20-29y",4191,3572
2023-08-07,"30-39y",3738,2866
2023-08-07,"40-49y",2790,2142
2023-08-07,"50-59y",1900,1782
2023-08-07,"60-69y",1316,1384
2023-08-07,"70-79y",779,817
2023-08-07,"80y+",299,367
2023-08-06,"<1y",812,656
2023-08-06,"1-4y",6461,5385
2023-08-06,"5-9y",4552,3883
2023-08-06,"10-14y",2341,2035
2023-08-06,"15-19y",1562,1701
2023-08-06,"20-29y",4126,3434
2023-08-06,"30-39y",3600,2766
2023-08-06,"40-49y",2720,2081
2023-08-06,"50-59y",1867,1725
2023-08-06,"60-69y",1279,1345
2023-08-06,"70-79y",748,794
2023-08-06,"80y+",285,346
2023-08-05,"<1y",812,656
2023-08-05,"1-4y",6461,5385
2023-08-05,"5-9y",4552,3883
2023-08-05,"10-14y",2341,2035
2023-08-05,"15-19y",1562,1701
2023-08-05,"20-29y",4126,3434
2023-08-05,"30-39y",3600,2766
2023-08-05,"40-49y",2720,2081
2023-08-05,"50-59y",1867,1725
2023-08-05,"60-69y",1279,1345
2023-08-05,"70-79y",748,794
2023-08-05,"80y+",285,346
2023-08-04,"<1y",812,656
2023-08-04,"1-4y",6461,5385
2023-08-04,"5-9y",4552,3883
2023-08-04,"10-14y",2341,2035
2023-08-04,"15-19y",1562,1701
2023-08-04,"20-29y",4126,3434
2023-08-04,"30-39y",3600,2766
2023-08-04,"40-49y",2720,2081
2023-08-04,"50-59y",1867,1725
2023-08-04,"60-69y",1279,1345
2023-08-04,"70-79y",748,794
2023-08-04,"80y+",285,346
2023-08-03,"<1y",812,656
2023-08-03,"1-4y",6461,5385
2023-08-03,"5-9y",4552,3883
2023-08-03,"10-14y",2341,2035
2023-08-03,"15-19y",1562,1701
2023-08-03,"20-29y",4126,3434
2023-08-03,"30-39y",3600,2766
2023-08-03,"40-49y",2720,2081
2023-08-03,"50-59y",1867,1725
2023-08-03,"60-69y",1279,1345
2023-08-03,"70-79y",748,794
2023-08-03,"80y+",285,346
2023-08-02,"<1y",812,656
2023-08-02,"1-4y",6461,5385
2023-08-02,"5-9y",4552,3883
2023-08-02,"10-14y",2341,2035
2023-08-02,"15-19y",1562,1701
2023-08-02,"20-29y",4126,3434
2023-08-02,"30-39y",3600,2766
2023-08-02,"40-49y",2720,2081
2023-08-02,"50-59y",1867,1725
2023-08-02,"60-69y",1279,1345
2023-08-02,"70-79y",748,794
2023-08-02,"80y+",285,346
2023-08-01,"<1y",812,656
2023-08-01,"1-4y",6461,5385
2023-08-01,"5-9y",4552,3883
2023-08-01,"10-14y",2341,2035
2023-08-01,"15-19y",1562,1701
2023-08-01,"20-29y",4126,3434
2023-08-01,"30-39y",3600,2766
2023-08-01,"40-49y",2720,2081
2023-08-01,"50-59y",1867,1725
2023-08-01,"60-69y",1279,1345
2023-08-01,"70-79y",748,794
2023-08-01,"80y+",285,346
2023-07-31,"<1y",812,656
2023-07-31,"1-4y",6461,5385
2023-07-31,"5-9y",4552,3883
2023-07-31,"10-14y",2341,2035
2023-07-31,"15-19y",1562,1701
2023-07-31,"20-29y",4126,3434
2023-07-31,"30-39y",3600,2766
2023-07-31,"40-49y",2720,2081
2023-07-31,"50-59y",1867,1725
2023-07-31,"60-69y",1279,1345
2023-07-31,"70-79y",748,794
2023-07-31,"80y+",285,346
2023-07-30,"<1y",812,656
2023-07-30,"1-4y",6461,5385
2023-07-30,"5-9y",4552,3883
2023-07-30,"10-14y",2341,2035
2023-07-30,"15-19y",1562,1701
2023-07-30,"20-29y",4126,3434
2023-07-30,"30-39y",3600,2766
2023-07-30,"40-49y",2720,2081
2023-07-30,"50-59y",1867,1725
2023-07-30,"60-69y",1279,1345
2023-07-30,"70-79y",748,794
2023-07-30,"80y+",285,346
2023-07-29,"<1y",812,656
2023-07-29,"1-4y",6461,5385
2023-07-29,"5-9y",4552,3883
2023-07-29,"10-14y",2341,2035
2023-07-29,"15-19y",1562,1701
2023-07-29,"20-29y",4126,3434
2023-07-29,"30-39y",3600,2766
2023-07-29,"40-49y",2720,2081
2023-07-29,"50-59y",1867,1725
2023-07-29,"60-69y",1279,1345
2023-07-29,"70-79y",748,794
2023-07-29,"80y+",285,346
2023-07-28,"<1y",812,656
2023-07-28,"1-4y",6461,5385
2023-07-28,"5-9y",4552,3883
2023-07-28,"10-14y",2341,2035
2023-07-28,"15-19y",1562,1701
2023-07-28,"20-29y",4126,3434
2023-07-28,"30-39y",3600,2766
2023-07-28,"40-49y",2720,2081
2023-07-28,"50-59y",1867,1725
2023-07-28,"60-69y",1279,1345
2023-07-28,"70-79y",748,794
2023-07-28,"80y+",285,346
2023-07-27,"<1y",808,653
2023-07-27,"1-4y",6406,5338
2023-07-27,"5-9y",4518,3860
2023-07-27,"10-14y",2322,2019
2023-07-27,"15-19y",1544,1684
2023-07-27,"20-29y",4105,3399
2023-07-27,"30-39y",3641,2743
2023-07-27,"40-49y",2698,2065
2023-07-27,"50-59y",1859,1712
2023-07-27,"60-69y",1271,1330
2023-07-27,"70-79y",741,780
2023-07-27,"80y+",284,343
2023-07-26,"<1y",808,653
2023-07-26,"1-4y",6406,5338
2023-07-26,"5-9y",4518,3860
2023-07-26,"10-14y",2322,2019
2023-07-26,"15-19y",1544,1684
2023-07-26,"20-29y",4105,3399
2023-07-26,"30-39y",3641,2743
2023-07-26,"40-49y",2698,2065
2023-07-26,"50-59y",1859,1712
2023-07-26,"60-69y",1271,1330
2023-07-26,"70-79y",741,780
2023-07-26,"80y+",284,343
2023-07-25,"<1y",808,653
2023-07-25,"1-4y",6406,5338
2023-07-25,"5-9y",4518,3860
2023-07-25,"10-14y",2322,2019
2023-07-25,"15-19y",1544,1684
2023-07-25,"20-29y",4105,3399
2023-07-25,"30-39y",3641,2743
2023-07-25,"40-49y",2698,2065
2023-07-25,"50-59y",1859,1712
2023-07-25,"60-69y",1271,1330
2023-07-25,"70-79y",741,780
2023-07-25,"80y+",284,343
2023-07-24,"<1y",787,614
2023-07-24,"1-4y",6233,5063
2023-07-24,"5-9y",4408,3666
2023-07-24,"10-14y",2268,1991
2023-07-24,"15-19y",1501,1596
2023-07-24,"20-29y",4029,3213
2023-07-24,"30-39y",3576,2575
2023-07-24,"40-49y",2646,1948
2023-07-24,"50-59y",1821,1627
2023-07-24,"60-69y",1246,1232
2023-07-24,"70-79y",725,739
2023-07-24,"80y+",276,327
2023-07-23,"<1y",787,614
2023-07-23,"1-4y",6233,5063
2023-07-23,"5-9y",4408,3666
2023-07-23,"10-14y",2268,1991
2023-07-23,"15-19y",1501,1596
2023-07-23,"20-29y",4029,3213
2023-07-23,"30-39y",3576,2575
2023-07-23,"40-49y",2646,1948
2023-07-23,"50-59y",1821,1627
2023-07-23,"60-69y",1246,1232
2023-07-23,"70-79y",725,739
2023-07-23,"80y+",276,327
2023-07-22,"<1y",787,614
2023-07-22,"1-4y",6233,5063
2023-07-22,"5-9y",4408,3666
2023-07-22,"10-14y",2268,1991
2023-07-22,"15-19y",1501,1596
2023-07-22,"20-29y",4029,3213
2023-07-22,"30-39y",3576,2575
2023-07-22,"40-49y",2646,1948
2023-07-22,"50-59y",1821,1627
2023-07-22,"60-69y",1246,1232
2023-07-22,"70-79y",725,739
2023-07-22,"80y+",276,327
2023-07-21,"<1y",787,614
2023-07-21,"1-4y",6233,5063
2023-07-21,"5-9y",4408,3666
2023-07-21,"10-14y",2268,1991
2023-07-21,"15-19y",1501,1596
2023-07-21,"20-29y",4029,3213
2023-07-21,"30-39y",3576,2575
2023-07-21,"40-49y",2646,1948
2023-07-21,"50-59y",1821,1627
2023-07-21,"60-69y",1246,1232
2023-07-21,"70-79y",725,739
2023-07-21,"80y+",276,327
2023-07-20,"<1y",787,614
2023-07-20,"1-4y",6233,5063
2023-07-20,"5-9y",4408,3666
2023-07-20,"10-14y",2268,1991
2023-07-20,"15-19y",1501,1596
2023-07-20,"20-29y",4029,3213
2023-07-20,"30-39y",3576,2575
2023-07-20,"40-49y",2646,1948
2023-07-20,"50-59y",1821,1627
2023-07-20,"60-69y",1246,1232
2023-07-20,"70-79y",725,739
2023-07-20,"80y+",276,327
2023-07-19,"<1y",787,614
2023-07-19,"1-4y",6233,5063
2023-07-19,"5-9y",4408,3666
2023-07-19,"10-14y",2268,1991
2023-07-19,"15-19y",1501,1596
2023-07-19,"20-29y",4029,3213
2023-07-19,"30-39y",3576,2575
2023-07-19,"40-49y",2646,1948
2023-07-19,"50-59y",1821,1627
2023-07-19,"60-69y",1246,1232
2023-07-19,"70-79y",725,739
2023-07-19,"80y+",276,327
2023-07-18,"<1y",787,614
2023-07-18,"1-4y",6233,5063
2023-07-18,"5-9y",4408,3666
2023-07-18,"10-14y",2268,1991
2023-07-18,"15-19y",1501,1596
2023-07-18,"20-29y",4029,3213
2023-07-18,"30-39y",3576,2575
2023-07-18,"40-49y",2646,1948
2023-07-18,"50-59y",1821,1627
2023-07-18,"60-69y",1246,1232
2023-07-18,"70-79y",725,739
2023-07-18,"80y+",276,327
2023-07-17,"<1y",770,614
2023-07-17,"1-4y",6045,5063
2023-07-17,"5-9y",4288,3666
2023-07-17,"10-14y",2194,1991
2023-07-17,"15-19y",1457,1596
2023-07-17,"20-29y",3911,3213
2023-07-17,"30-39y",3475,2575
2023-07-17,"40-49y",2584,1948
2023-07-17,"50-59y",1771,1627
2023-07-17,"60-69y",1213,1232
2023-07-17,"70-79y",700,739
2023-07-17,"80y+",263,319
2023-07-16,"<1y",770,614
2023-07-16,"1-4y",6045,5063
2023-07-16,"5-9y",4288,3666
2023-07-16,"10-14y",2194,1991
2023-07-16,"15-19y",1457,1596
2023-07-16,"20-29y",3911,3213
2023-07-16,"30-39y",3475,2575
2023-07-16,"40-49y",2584,1948
2023-07-16,"50-59y",1771,1627
2023-07-16,"60-69y",1213,1232
2023-07-16,"70-79y",700,739
2023-07-16,"80y+",263,319
2023-07-15,"<1y",770,614
2023-07-15,"1-4y",6045,5063
2023-07-15,"5-9y",4288,3666
2023-07-15,"10-14y",2194,1991
2023-07-15,"15-19y",1457,1596
2023-07-15,"20-29y",3911,3213
2023-07-15,"30-39y",3475,2575
2023-07-15,"40-49y",2584,1948
2023-07-15,"50-59y",1771,1627
2023-07-15,"60-69y",1213,1232
2023-07-15,"70-79y",700,739
2023-07-15,"80y+",263,319
2023-07-14,"<1y",770,614
2023-07-14,"1-4y",6045,5063
2023-07-14,"5-9y",4288,3666
2023-07-14,"10-14y",2194,1991
2023-07-14,"15-19y",1457,1596
2023-07-14,"20-29y",3911,3213
2023-07-14,"30-39y",3475,2575
2023-07-14,"40-49y",2584,1948
2023-07-14,"50-59y",1771,1627
2023-07-14,"60-69y",1213,1232
2023-07-14,"70-79y",700,739
2023-07-14,"80y+",263,319
2023-07-13,"<1y",770,614
2023-07-13,"1-4y",6045,5063
2023-07-13,"5-9y",4288,3666
2023-07-13,"10-14y",2194,1991
2023-07-13,"15-19y",1457,1596
2023-07-13,"20-29y",3911,3213
2023-07-13,"30-39y",3475,2575
2023-07-13,"40-49y",2584,1948
2023-07-13,"50-59y",1771,1627
2023-07-13,"60-69y",1213,1232
2023-07-13,"70-79y",700,739
2023-07-13,"80y+",263,319
2023-07-12,"<1y",770,614
2023-07-12,"1-4y",6045,5063
2023-07-12,"5-9y",4288,3666
2023-07-12,"10-14y",2194,1991
2023-07-12,"15-19y",1457,1596
2023-07-12,"20-29y",3911,3213
2023-07-12,"30-39y",3475,2575
2023-07-12,"40-49y",2584,1948
2023-07-12,"50-59y",1771,1627
2023-07-12,"60-69y",1213,1232
2023-07-12,"70-79y",700,739
2023-07-12,"80y+",263,319
2023-07-11,"<1y",770,614
2023-07-11,"1-4y",6045,5063
2023-07-11,"5-9y",4288,3666
