"date","Country.Territory","Admin1","ISOCODE","Confirmed.cases","Confirmed.deaths","Suspected.cases","Suspected.deaths","Probable.cases","Probable.deaths","Hospitalized.deaths","Hospitalized.cases"
2024-01-26,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Distrito Nacional*","DO-01",2,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Elias Pina","DO-07",2,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Hato Mayor","DO-30",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Hermanas Mirabal","DO-19",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Independencia","DO-10",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","La Altagracia*","DO-11",1,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","La Romana","DO-12",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","La Vega","DO-13",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Maria Trinidad Sanchez","DO-14",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Monsenor Nouel","DO-28",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Monte Cristi","DO-15",1,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Monte Plata","DO-29",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Pedernales","DO-16",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Peravia","DO-17",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Puerto Plata","DO-18",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Samana","DO-20",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","San Cristobal","DO-21",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","San Jose de Ocoa","DO-31",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","San Juan","DO-22",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","San Pedro de Macoris","DO-23",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Sanchez Ramirez","DO-24",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Santiago","DO-25",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Santiago Rodriguez","DO-26",0,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Santo Domingo","DO-32",74,0,0,0,0,0,NA,NA
2024-01-26,"Dominican Republic","Valverde","DO-27",0,0,0,0,0,0,NA,NA
2024-01-12,"Haiti","TOTAL","HTI",4608,1169,79122,285,NA,NA,884,74244
2024-01-12,"Haiti","Ouest","HT-OU",2029,210,28171,0,0,0,NA,NA
2024-01-12,"Haiti","Artibonite","HT-AR",305,0,11452,0,0,0,NA,NA
2024-01-12,"Haiti","Centre","HT-CE",546,0,15765,0,0,0,NA,NA
2024-01-12,"Haiti","Nord","HT-ND",252,0,7289,0,0,0,NA,NA
2024-01-12,"Haiti","Sud","HT-SD",205,0,3136,0,0,0,NA,NA
2024-01-12,"Haiti","Nord-Est","HT-NE",265,0,2897,0,0,0,NA,NA
2024-01-12,"Haiti","Nord-Ouest","HT-NO",139,0,3571,0,0,0,NA,NA
2024-01-12,"Haiti","Grand Anse","HT-GA",377,0,2118,0,0,0,NA,NA
2024-01-12,"Haiti","Sud-Est","HT-SE",339,0,2094,0,0,0,NA,NA
2024-01-12,"Haiti","Nippes","HT-NI",151,0,2629,0,0,0,NA,NA
2024-01-12,"Haiti","Undetermined",NA,0,959,0,0,0,0,NA,NA
2024-01-12,"Haiti","Prison",NA,14,14,368,0,0,0,NA,NA
2024-01-12,"Dominican Republic","TOTAL","DOM",111,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Azua","DO-02",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Baoruco","DO-03",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Barahona","DO-04",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Dajabon","DO-05",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Distrito Nacional*","DO-01",2,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Duarte","DO-06",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","El Seibo","DO-08",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Elias Pina","DO-07",2,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Espaillat","DO-09",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Hato Mayor","DO-30",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Hermanas Mirabal","DO-19",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Independencia","DO-10",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","La Altagracia*","DO-11",1,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","La Romana","DO-12",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","La Vega","DO-13",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Maria Trinidad Sanchez","DO-14",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Monsenor Nouel","DO-28",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Monte Cristi","DO-15",1,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Monte Plata","DO-29",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Pedernales","DO-16",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Peravia","DO-17",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Puerto Plata","DO-18",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","Samana","DO-20",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","San Cristobal","DO-21",0,0,0,0,0,0,NA,NA
2024-01-12,"Dominican Republic","San Jose de Ocoa","DO-31",0,0,0,0,0,0,NA,NA
